interation,polynomial,error,polynomial_best,error_best
477,-0.6192724429294072*x**10 - 0.0374038839828538*x**9 + 0.5591359661918249*x**8 + 0.8072066456474916*x**7 + 1.6124138968435162*x**6 + 2.128178837324329*x**5 + 0.661456275844853*x**4 - 1.9126649476552364*x**3 - 5.739055780581837*x**2 + 1.8608092976752766*x + 0.631297617136705,4.527452825487057,-0.6192724429294072*x**10 - 0.0374038839828538*x**9 + 0.5591359661918249*x**8 + 0.8072066456474916*x**7 + 1.6124138968435162*x**6 + 2.128178837324329*x**5 + 0.661456275844853*x**4 - 1.9126649476552364*x**3 - 5.739055780581837*x**2 + 1.8608092976752766*x + 0.631297617136705,0.30091370276167406
478,-0.6222621173356299*x**10 - 0.039175340649797795*x**9 + 0.5588521397629077*x**8 + 0.8085694287361385*x**7 + 1.6152887818995605*x**6 + 2.1318085144376715*x**5 + 0.6639789474749409*x**4 - 1.914426545945798*x**3 - 5.746785779913104*x**2 + 1.8653852205403043*x + 0.6308290167571002,4.5234543530996545,-0.6222621173356299*x**10 - 0.039175340649797795*x**9 + 0.5588521397629077*x**8 + 0.8085694287361385*x**7 + 1.6152887818995605*x**6 + 2.1318085144376715*x**5 + 0.6639789474749409*x**4 - 1.914426545945798*x**3 - 5.746785779913104*x**2 + 1.8653852205403043*x + 0.6308290167571002,0.30078079570011296
479,-0.6252500493508724*x**10 - 0.04094587463164495*x**9 + 0.5585682896041951*x**8 + 0.8099311988181674*x**7 + 1.6181618177534978*x**6 + 2.135436051006663*x**5 + 0.666500400943236*x**4 - 1.916186476132204*x**3 - 5.754510434055432*x**2 + 1.8699572009285683*x + 0.6303609393555556,4.519461497024007,-0.6252500493508724*x**10 - 0.04094587463164495*x**9 + 0.5585682896041951*x**8 + 0.8099311988181674*x**7 + 1.6181618177534978*x**6 + 2.135436051006663*x**5 + 0.666500400943236*x**4 - 1.916186476132204*x**3 - 5.754510434055432*x**2 + 1.8699572009285683*x + 0.6303609393555556,0.30064801669141294
480,-0.6282362373098086*x**10 - 0.042715484104646574*x**9 + 0.5582844175580046*x**8 + 0.8112919574823867*x**7 + 1.6210330052554527*x**6 + 2.1390614463480313*x**5 + 0.6690206329188685*x**4 - 1.9179447450380454*x**3 - 5.762229750432509*x**2 + 1.874525252197605*x + 0.6298933821814025,4.515474245773687,-0.6282362373098086*x**10 - 0.042715484104646574*x**9 + 0.5582844175580046*x**8 + 0.8112919574823867*x**7 + 1.6210330052554527*x**6 + 2.1390614463480313*x**5 + 0.6690206329188685*x**4 - 1.9179447450380454*x**3 - 5.762229750432509*x**2 + 1.874525252197605*x + 0.6298933821814025,0.30051536552308555
481,-0.6312206795789337*x**10 - 0.04448416727286391*x**9 + 0.5580005254453863*x**8 + 0.812651706306351*x**7 + 1.6239023452588548*x**6 + 2.1426846998017277*x**5 + 0.6715396401184124*x**4 - 1.9197013594194101*x**3 - 5.769943736419736*x**2 + 1.8790893875776118*x + 0.6294263425122556,4.511492587927953,-0.6312206795789337*x**10 - 0.04448416727286391*x**9 + 0.5580005254453863*x**8 + 0.812651706306351*x**7 + 1.6239023452588548*x**6 + 2.1426846998017277*x**5 + 0.6715396401184124*x**4 - 1.9197013594194101*x**3 - 5.769943736419736*x**2 + 1.8790893875776118*x + 0.6294263425122556,0.3003828419842902
482,-0.6342033745562065*x**10 - 0.04625192236785634*x**9 + 0.5577166150663578*x**8 + 0.814010446856477*x**7 + 1.6267698386203944*x**6 + 2.1463058107306616*x**5 + 0.6740574193053612*x**4 - 1.9214563259656199*x**3 - 5.77765239934474*x**2 + 1.8836496201728352*x + 0.6289598176536988,4.507516512130995,-0.6342033745562065*x**10 - 0.04625192236785634*x**9 + 0.5577166150663578*x**8 + 0.814010446856477*x**7 + 1.6267698386203944*x**6 + 2.1463058107306616*x**5 + 0.6740574193053612*x**4 - 1.9214563259656199*x**3 - 5.77765239934474*x**2 + 1.8836496201728352*x + 0.6289598176536988,0.3002504458658137
483,-0.6371843206706952*x**10 - 0.048018747648375354*x**9 + 0.5574326882001361*x**8 + 0.8153681806881669*x**7 + 1.6296354861999822*x**6 + 2.1499247785204325*x**5 + 0.6765739672896028*x**4 - 1.9232096512999606*x**3 - 5.785355746487881*x**2 + 1.888205962962942*x + 0.6284938049389897,4.503546007091243,-0.6371843206706952*x**10 - 0.048018747648375354*x**9 + 0.5574326882001361*x**8 + 0.8153681806881669*x**7 + 1.6296354861999822*x**6 + 2.1499247785204325*x**5 + 0.6765739672896028*x**4 - 1.9232096512999606*x**3 - 5.785355746487881*x**2 + 1.888205962962942*x + 0.6284938049389897,0.30011817696005166
484,-0.6401635163822259*x**10 - 0.049784641400060045*x**9 + 0.5571487466053662*x**8 + 0.8167249093459201*x**7 + 1.632499288860698*x**6 + 2.1535416025790823*x**5 + 0.6790892809269025*x**4 - 1.9249613419804024*x**3 - 5.793053785082742*x**2 + 1.8927584288043726*x + 0.6280283017287464,4.499581061580645,-0.6401635163822259*x**10 - 0.049784641400060045*x**9 + 0.5571487466053662*x**8 + 0.8167249093459201*x**7 + 1.632499288860698*x**6 + 2.1535416025790823*x**5 + 0.6790892809269025*x**4 - 1.9249613419804024*x**3 - 5.793053785082742*x**2 + 1.8927584288043726*x + 0.6280283017287464,0.2999860350609889
485,-0.6431409601810354*x**10 - 0.05154960193513662*x**9 + 0.5568647920203486*x**8 + 0.8180806343634536*x**7 + 1.635361247468756*x**6 + 2.1571562823368304*x**5 + 0.6816033571183916*x**4 - 1.9267114045003086*x**3 - 5.8007465223166275*x**2 + 1.897307030431681*x + 0.6275633054106513,4.495621664433941,-0.6431409601810354*x**10 - 0.05154960193513662*x**9 + 0.5568647920203486*x**8 + 0.8180806343634536*x**7 + 1.635361247468756*x**6 + 2.1571562823368304*x**5 + 0.6816033571183916*x**4 - 1.9267114045003086*x**3 - 5.8007465223166275*x**2 + 1.897307030431681*x + 0.6275633054106513,0.29985401996417993
486,-0.6461166505874295*x**10 - 0.05331362759212159*x**9 + 0.5565808261632638*x**8 + 0.8194353572638128*x**7 + 1.6382213628934594*x**6 + 2.160768817245817*x**5 + 0.6841161928100632*x**4 - 1.9284598452891486*x**3 - 5.808433965331042*x**2 + 1.9018517804588677*x + 0.627098813399155,4.491667804548,-0.6461166505874295*x**10 - 0.05331362759212159*x**9 + 0.5565808261632638*x**8 + 0.8194353572638128*x**7 + 1.6382213628934594*x**6 + 2.160768817245817*x**5 + 0.6841161928100632*x**4 - 1.9284598452891486*x**3 - 5.808433965331042*x**2 + 1.9018517804588677*x + 0.627098813399155,0.2997221314667304
