interation,polynomial,error,polynomial_best,error_best
583,-0.4804399802313333*x**10 - 0.480606378013174*x**9 + 0.26370562466981795*x**8 + 1.8446710801350403*x**7 + 2.1541315445268454*x**6 + 2.2972544579338834*x**5 + 0.8770424257854336*x**4 - 2.676931963705655*x**3 - 7.16699563854755*x**2 + 3.1650439037846674*x + 0.439725835752837,3.4390064054813685,-0.4804399802313333*x**10 - 0.480606378013174*x**9 + 0.26370562466981795*x**8 + 1.8446710801350403*x**7 + 2.1541315445268454*x**6 + 2.2972544579338834*x**5 + 0.8770424257854336*x**4 - 2.676931963705655*x**3 - 7.16699563854755*x**2 + 3.1650439037846674*x + 0.439725835752837,0.26225965780048477
584,-0.48302686323526384*x**10 - 0.4821596516232789*x**9 + 0.26341486652226065*x**8 + 1.8457861982956671*x**7 + 2.1565552448645726*x**6 + 2.3003620382075227*x**5 + 0.8792507560912917*x**4 - 2.6783715103966776*x**3 - 7.173542406076104*x**2 + 3.168877901108313*x + 0.43933627452938145,3.4364939019556235,-0.48302686323526384*x**10 - 0.4821596516232789*x**9 + 0.26341486652226065*x**8 + 1.8457861982956671*x**7 + 2.1565552448645726*x**6 + 2.3003620382075227*x**5 + 0.8792507560912917*x**4 - 2.6783715103966776*x**3 - 7.173542406076104*x**2 + 3.168877901108313*x + 0.43933627452938145,0.262163838160629
585,-0.4856121779482053*x**10 - 0.4837120751981079*x**9 + 0.26312413273981505*x**8 + 1.8469004777263212*x**7 + 2.1589773697238304*x**6 + 2.3034677611414485*x**5 + 0.8814579666519231*x**4 - 2.67980977341145*x**3 - 7.180084747066786*x**2 + 3.1727087963217873*x + 0.43894710516718904,3.4339850509888086,-0.4856121779482053*x**10 - 0.4837120751981079*x**9 + 0.26312413273981505*x**8 + 1.8469004777263212*x**7 + 2.1589773697238304*x**6 + 2.3034677611414485*x**5 + 0.8814579666519231*x**4 - 2.67980977341145*x**3 - 7.180084747066786*x**2 + 3.1727087963217873*x + 0.43894710516718904,0.2620681228607863
586,-0.4881959235535973*x**10 - 0.48526364769386854*x**9 + 0.2628334245218146*x**8 + 1.8480139196145347*x**7 + 2.1613979199505957*x**6 + 2.3065716266592924*x**5 + 0.8836640555900898*x**4 - 2.6812467572504715*x**3 - 7.186622666970446*x**2 + 3.176536598226931*x + 0.43855832591489574,3.4314798448432136,-0.4881959235535973*x**10 - 0.48526364769386854*x**9 + 0.2628334245218146*x**8 + 1.8480139196145347*x**7 + 2.1613979199505957*x**6 + 2.3065716266592924*x**5 + 0.8836640555900898*x**4 - 2.6812467572504715*x**3 - 7.186622666970446*x**2 + 3.176536598226931*x + 0.43855832591489574,0.2619725117199594
587,-0.4907780992548605*x**10 - 0.4868143680843672*x**9 + 0.262542743053917*x**8 + 1.849126525140231*x**7 + 2.1638168963921416*x**6 + 2.3096736346983042*x**5 + 0.8858690210573774*x**4 - 2.682682466372344*x**3 - 7.193156171206879*x**2 + 3.180361315547691*x + 0.43816993503816815,3.4289782758249214,-0.4907780992548605*x**10 - 0.4868143680843672*x**9 + 0.262542743053917*x**8 + 1.849126525140231*x**7 + 2.1638168963921416*x**6 + 2.3096736346983042*x**5 + 0.8858690210573774*x**4 - 2.682682466372344*x**3 - 7.193156171206879*x**2 + 3.180361315547691*x + 0.43816993503816815,0.2618770045584347
588,-0.49335870427517686*x**10 - 0.4883642353608179*x**9 + 0.26225208950825174*x**8 + 1.850238295475795*x**7 + 2.1662342998970083*x**6 + 2.312773785209194*x**5 + 0.8880728612338875*x**4 - 2.6841169051942355*x**3 - 7.199685265165132*x**2 + 3.1841829569309335*x + 0.4377819308195501,3.426480336283365,-0.49335870427517686*x**10 - 0.4883642353608179*x**9 + 0.26225208950825174*x**8 + 1.850238295475795*x**7 + 2.1662342998970083*x**6 + 2.312773785209194*x**5 + 0.8880728612338875*x**4 - 2.6841169051942355*x**3 - 7.199685265165132*x**2 + 3.1841829569309335*x + 0.4377819308195501,0.2617816011977681
589,-0.4959377378572724*x**10 - 0.48991324853165447*x**9 + 0.2619614650435643*x**8 + 1.8513492317861584*x**7 + 2.168650131314993*x**6 + 2.3158720781559703*x**5 + 0.8902755743279255*x**4 - 2.6855500780923003*x**3 - 7.206209954203802*x**2 + 3.188001530947245*x + 0.43739431155826575,3.423986018610888,-0.4959377378572724*x**10 - 0.48991324853165447*x**9 + 0.2619614650435643*x**8 + 1.8513492317861584*x**7 + 2.168650131314993*x**6 + 2.3158720781559703*x**5 + 0.8902755743279255*x**4 - 2.6855500780923003*x**3 - 7.206209954203802*x**2 + 3.188001530947245*x + 0.43739431155826575,0.2616863014607715
590,-0.4985151992632027*x**10 - 0.4914614066223433*x**9 + 0.2616708708053569*x**8 + 1.8524593352288674*x**7 + 2.17106439149712*x**6 + 2.3189685135158022*x**5 + 0.8924771585756972*x**4 - 2.6869819894021125*x**3 - 7.212730243651361*x**2 + 3.191817046091748*x + 0.4370070755700586,3.421495315242273,-0.4985151992632027*x**10 - 0.4914614066223433*x**9 + 0.2616708708053569*x**8 + 1.8524593352288674*x**7 + 2.17106439149712*x**6 + 2.3189685135158022*x**5 + 0.8924771585756972*x**4 - 2.6869819894021125*x**3 - 7.212730243651361*x**2 + 3.191817046091748*x + 0.4370070755700586,0.2615911051714975
591,-0.5010910877741394*x**10 - 0.49300870867519564*x**9 + 0.26138030792603284*x**8 + 1.8535686069541653*x**7 + 2.173477081295628*x**6 + 2.322063091278863*x**5 + 0.8946776122410071*x**4 - 2.6884126434191*x**3 - 7.219246138806454*x**2 + 3.1956295107848818*x + 0.4366202211870065,3.4190082186543287,-0.5010910877741394*x**10 - 0.49300870867519564*x**9 + 0.26138030792603284*x**8 + 1.8535686069541653*x**7 + 2.173477081295628*x**6 + 2.322063091278863*x**5 + 0.8946776122410071*x**4 - 2.6884126434191*x**3 - 7.219246138806454*x**2 + 3.1956295107848818*x + 0.4366202211870065,0.2614960121552269
592,-0.5036654026901599*x**10 - 0.4945551537491878*x**9 + 0.26108977752503415*x**8 + 1.8546770481050596*x**7 + 2.1758882015639456*x**6 + 2.325155811448195*x**5 + 0.8968769336149567*x**4 - 2.6898420443989637*x**3 - 7.225757644938173*x**2 + 3.199438933373183*x + 0.4362337467573459,3.416524721365418,-0.5036654026901599*x**10 - 0.4945551537491878*x**9 + 0.26108977752503415*x**8 + 1.8546770481050596*x**7 + 2.1758882015639456*x**6 + 2.325155811448195*x**5 + 0.8968769336149567*x**4 - 2.6898420443989637*x**3 - 7.225757644938173*x**2 + 3.199438933373183*x + 0.4362337467573459,0.2614010222384533
